ordre;CD_REF;CD_NOM;NOM_CITE;AUTEUR;NOMS_COMMUNS;POPULATION;RANG;FAMILLE;ENDEMISME;COMMENTAIRE;STATUT;CRITERES;TENDANCE;VERSION;STATUT_I;STATUT_EU;ANNEEEVAL;NOM_LISTE;TYPE_LISTE;GROUPE_GRAND_PUBLIC
"25";"629621";"629621";"Entada gigas ";"(L.) Fawc. & Rendle, 1920";"Liane wa wa";"";"ES";"Fabaceae";"";"";"EN";"A2ac B2ab(iii)";"";"2013";"";"";"";"Liste rouge de la Flore vasculaire de Guadeloupe - 1";"Flore_vasculaire_Guadeloupe_1_2013";"Plantes, mousses et fougères";
"25";"629622";"629622";"Entada polystachya";"(L.) DC., 1825";"Liane à agoutis";"";"ES";"Fabaceae";"";"";"EN";"B2ab(iii)";"";"2013";"";"";"";"Liste rouge de la Flore vasculaire de Guadeloupe - 1";"Flore_vasculaire_Guadeloupe_1_2013";"Plantes, mousses et fougères";
"25";"629628";"629628";"Epidendrum ciliare ";"L., 1759";"";"";"ES";"Orchidaceae";"";"";"EN";"A2ac B2ab(ii,iii,v)";"";"2013";"";"";"";"Liste rouge de la Flore vasculaire de Guadeloupe - 1";"Flore_vasculaire_Guadeloupe_1_2013";"Plantes, mousses et fougères";
"25";"629696";"629696";"Eugenia procera ";"(Sw.) Poir., 1813";"Merisier";"";"ES";"Myrtaceae";"";"";"EN";"B2ab(iii)";"";"2013";"";"";"";"Liste rouge de la Flore vasculaire de Guadeloupe - 1";"Flore_vasculaire_Guadeloupe_1_2013";"Plantes, mousses et fougères";
"25";"629728";"629728";"Exothea paniculata ";"(Juss.) Radlk., 1888";"";"";"ES";"Sapindaceae";"";"";"EN";"A2ac B2ab(iii,v)";"";"2013";"";"";"";"Liste rouge de la Flore vasculaire de Guadeloupe - 1";"Flore_vasculaire_Guadeloupe_1_2013";"Plantes, mousses et fougères";
"25";"199351";"199351";"Fulica americana";"Gmelin, 1789";"Foulque d'Amérique";"";"ES";"Rallidae";"";"";"EN";"CR (D) (-1)";"";"2012";"LC";"";"";"Liste rouge des oiseaux nicheurs de Guadeloupe";"Oiseaux_Guadeloupe_nicheurs_2012";"Oiseaux";
"25";"199351";"441934";"Fulica caribaea";"Ridgway, 1884";"Foulque à cachet blanc";"";"ES";"Rallidae";"";"";"EN";"CR (D) (-1)";"";"2012";"";"";"";"Liste rouge des oiseaux nicheurs de Guadeloupe";"Oiseaux_Guadeloupe_nicheurs_2012";"Oiseaux";
"25";"629782";"629782";"Gossypium hirsutum race yucatanense ";"J. B. Hutch., 1951";"Coton pays";"";"RACE";"Malvaceae";"";"";"EN";"D";"";"2013";"";"";"";"Liste rouge de la Flore vasculaire de Guadeloupe - 1";"Flore_vasculaire_Guadeloupe_1_2013";"Plantes, mousses et fougères";
"25";"716141";"716141";"Grammitis limbata ";"Fée, 1852";"";"";"ES";"Polypodiaceae";"";"";"EN";"B2ab(v)";"";"2013";"";"";"";"Liste rouge de la Flore vasculaire de Guadeloupe - 1";"Flore_vasculaire_Guadeloupe_1_2013";"Plantes, mousses et fougères";
"25";"629786";"629786";"Guaiacum officinale";"L., 1753";"Gaïac";"";"ES";"Zygophyllaceae";"";"";"EN";"A2a B2ab(iii) D";"";"2013";"EN";"";"";"Liste rouge de la Flore vasculaire de Guadeloupe - 1";"Flore_vasculaire_Guadeloupe_1_2013";"Plantes, mousses et fougères";
"25";"629795";"629795";"Gundlachia corymbosa ";"(Urb.) Britton ex Bold., 1913";"Bwa Giyòm";"";"ES";"Asteraceae";"";"";"EN";"B2ab(iii)";"";"2013";"";"";"";"Liste rouge de la Flore vasculaire de Guadeloupe - 1";"Flore_vasculaire_Guadeloupe_1_2013";"Plantes, mousses et fougères";
"25";"629808";"629808";"Gyrotaenia crassifolia ";"(Wedd.) Urb., 1918";"Gran zouti";"";"ES";"Urticaceae";"";"";"EN";"D";"";"2013";"";"";"";"Liste rouge de la Flore vasculaire de Guadeloupe - 1";"Flore_vasculaire_Guadeloupe_1_2013";"Plantes, mousses et fougères";
"25";"441966";"441966";"Haematopus palliatus";"Temminck, 1820";"Huîtrier d'Amérique";"";"ES";"Haematopodidae";"";"";"EN";"CR (D) (-1)";"";"2012";"LC";"";"";"Liste rouge des oiseaux nicheurs de Guadeloupe";"Oiseaux_Guadeloupe_nicheurs_2012";"Oiseaux";
"25";"779375";"629834";"Heliotropium microphyllum ";"Sw. ex Wikstr., 1828";"Ti-teigne";"";"ES";"Boraginaceae";"Guadeloupe";"";"EN";"B2ab(ii,iii)";"";"2013";"";"";"";"Liste rouge de la Flore vasculaire de Guadeloupe - 1";"Flore_vasculaire_Guadeloupe_1_2013";"Plantes, mousses et fougères";
"25";"448460";"448460";"Hernandia sonora ";"L., 1753";"Mirobolan";"";"ES";"Hernandiaceae";"";"";"EN";"A2ac B2ab(iii,iv)";"";"2013";"";"";"";"Liste rouge de la Flore vasculaire de Guadeloupe - 1";"Flore_vasculaire_Guadeloupe_1_2013";"Plantes, mousses et fougères";
"25";"101503";"101503";"Heteranthera reniformis ";"Ruiz & Pav., 1798";"";"";"ES";"Pontederiaceae";"";"";"EN";"B2ab(iii) D";"";"2013";"";"";"";"Liste rouge de la Flore vasculaire de Guadeloupe - 1";"Flore_vasculaire_Guadeloupe_1_2013";"Plantes, mousses et fougères";
"25";"626895";"441988";"Himantopus mexicanus";"(Statius Müller, 1776)";"Échasse d'Amérique";"";"ES";"Recurvirostridae";"";"";"EN";"CR (D) (-1)";"";"2012";"";"";"";"Liste rouge des oiseaux nicheurs de Guadeloupe";"Oiseaux_Guadeloupe_nicheurs_2012";"Oiseaux";
"25";"834725";"716161";"Huperzia funiformis ";"(Cham. ex Spring) Trevis., 1874";"";"";"ES";"Lycopodiaceae";"";"";"EN";"B2ab(v)";"";"2013";"";"";"";"Liste rouge de la Flore vasculaire de Guadeloupe - 1";"Flore_vasculaire_Guadeloupe_1_2013";"Plantes, mousses et fougères";
"25";"716151";"716151";"Hymenophyllum macrothecum ";"Fée, 1866";"";"";"ES";"Hymenophyllaceae";"";"";"EN";"B2ab(iii)";"";"2013";"";"";"";"Liste rouge de la Flore vasculaire de Guadeloupe - 1";"Flore_vasculaire_Guadeloupe_1_2013";"Plantes, mousses et fougères";
"25";"629969";"629969";"Justicia androsaemifolia ";"(Nees) Lindau, 1895";"Violette-savane";"";"ES";"Acanthaceae";"";"";"EN";"B2ab(iii)";"";"2013";"";"";"";"Liste rouge de la Flore vasculaire de Guadeloupe - 1";"Flore_vasculaire_Guadeloupe_1_2013";"Plantes, mousses et fougères";
"25";"630023";"630023";"Lepanthes aurea ";"Urb., 1917";"";"";"ES";"Orchidaceae";"";"";"EN";"B2ab(ii,iii)";"";"2013";"";"";"";"Liste rouge de la Flore vasculaire de Guadeloupe - 1";"Flore_vasculaire_Guadeloupe_1_2013";"Plantes, mousses et fougères";
"25";"630024";"630024";"Lepanthes dussii";"Urb., 1917";"";"";"ES";"Orchidaceae";"";"";"EN";"B2ab(ii,iii)";"";"2013";"";"";"";"Liste rouge de la Flore vasculaire de Guadeloupe - 1";"Flore_vasculaire_Guadeloupe_1_2013";"Plantes, mousses et fougères";
"25";"447200";"447200";"Mucuna sloanei ";"Fawc. & Rendle, 1917";"Zyé a bourik";"";"ES";"Fabaceae";"";"";"EN";"B2ab(iii)";"";"2013";"";"";"";"Liste rouge de la Flore vasculaire de Guadeloupe - 1";"Flore_vasculaire_Guadeloupe_1_2013";"Plantes, mousses et fougères";
"25";"442135";"442135";"Nomonyx dominicus";"(Linnaeus, 1766)";"Érismature routoutou";"";"ES";"Anatidae";"";"";"EN";"D";"";"2012";"LC";"";"";"Liste rouge des oiseaux nicheurs de Guadeloupe";"Oiseaux_Guadeloupe_nicheurs_2012";"Oiseaux";
"25";"610571";"610571";"Opuntia dillenii ";"(Ker Gawl.) Haw., 1819";"Raquette à fleurs jaunes";"";"ES";"Cactaceae";"";"";"EN";"B2ab(iii,v)";"";"2013";"";"";"";"Liste rouge de la Flore vasculaire de Guadeloupe - 1";"Flore_vasculaire_Guadeloupe_1_2013";"Plantes, mousses et fougères";
"25";"630271";"630271";"Opuntia rubescens ";"Salm-Dyck ex DC., 1919";"Raquette arborescente à piquants";"";"ES";"Cactaceae";"";"";"EN";"D";"";"2013";"";"";"";"Liste rouge de la Flore vasculaire de Guadeloupe - 1";"Flore_vasculaire_Guadeloupe_1_2013";"Plantes, mousses et fougères";
"25";"459540";"459540";"Patagioenas leucocephala";"(Linnaeus, 1758)";"Pigeon à couronne blanche";"";"ES";"Columbidae";"";"";"EN";"B2ab(i,ii,iii,iv,v)";"";"2012";"NT";"";"";"Liste rouge des oiseaux nicheurs de Guadeloupe";"Oiseaux_Guadeloupe_nicheurs_2012";"Oiseaux";
"25";"199319";"199319";"Phaethon aethereus";"Linnaeus, 1758";"Phaéton à bec rouge";"";"ES";"Phaethontidae";"";"";"EN";"CR (C1+2a(ii)) (-1)";"";"2012";"LC";"";"";"Liste rouge des oiseaux nicheurs de Guadeloupe";"Oiseaux_Guadeloupe_nicheurs_2012";"Oiseaux";
"25";"630410";"630410";"Picrasma excelsa ";"(Sw.) Planch., 1846";"Bois amer";"";"ES";"Simaroubaceae";"";"";"EN";"B2ab(iii)";"";"2013";"VU";"";"";"Liste rouge de la Flore vasculaire de Guadeloupe - 1";"Flore_vasculaire_Guadeloupe_1_2013";"Plantes, mousses et fougères";
"25";"716564";"716564";"Polystichopsis muscosa  ";"(Vahl) Proctor, 1961";"";"";"ES";"Dryopteridaceae";"";"";"EN";"B2ab(iii)";"";"2013";"";"";"";"Liste rouge de la Flore vasculaire de Guadeloupe - 1";"Flore_vasculaire_Guadeloupe_1_2013";"Plantes, mousses et fougères";
"25";"442262";"459517";"Porphyrio martinica";"(Linnaeus, 1766)";"Talève violacée";"";"ES";"Rallidae";"";"";"EN";"CR (D) (-1)";"";"2012";"";"";"";"Liste rouge des oiseaux nicheurs de Guadeloupe";"Oiseaux_Guadeloupe_nicheurs_2012";"Oiseaux";
"25";"630490";"630490";"Prosthechea cochleata ";"(L.) Higgins, 1997";"";"";"ES";"Orchidaceae";"";"";"EN";"A2a C2a(i) D";"";"2013";"";"";"";"Liste rouge de la Flore vasculaire de Guadeloupe - 1";"Flore_vasculaire_Guadeloupe_1_2013";"Plantes, mousses et fougères";
"25";"716171";"716171";"Pteris altissima  ";"Poir., 1804";"";"";"ES";"Pteridaceae";"";"";"EN";"B2ab(iv) D";"";"2013";"";"";"";"Liste rouge de la Flore vasculaire de Guadeloupe - 1";"Flore_vasculaire_Guadeloupe_1_2013";"Plantes, mousses et fougères";
"25";"716173";"716173";"Pteris grandifolia ";"L., 1753";"";"";"ES";"Pteridaceae";"";"";"EN";"B2ab(iii,iv,v)";"";"2013";"";"";"";"Liste rouge de la Flore vasculaire de Guadeloupe - 1";"Flore_vasculaire_Guadeloupe_1_2013";"Plantes, mousses et fougères";
"25";"630561";"630561";"Rochefortia spinosa ";"(Jacq.) Urb., 1920";"Bois vert";"";"ES";"Boraginaceae";"";"";"EN";"C2a(i)";"";"2013";"";"";"";"Liste rouge de la Flore vasculaire de Guadeloupe - 1";"Flore_vasculaire_Guadeloupe_1_2013";"Plantes, mousses et fougères";
"25";"447598";"447598";"Sapindus saponaria ";"L., 1753";"Savonnette";"";"ES";"Sapindaceae";"";"";"EN";"B2ab(iii)";"";"2013";"";"";"";"Liste rouge de la Flore vasculaire de Guadeloupe - 1";"Flore_vasculaire_Guadeloupe_1_2013";"Plantes, mousses et fougères";
"25";"630605";"630605";"Scaevola plumieri ";"(L.) Vahl, 1791";"Prune bord de mer";"";"ES";"Goodeniaceae";"";"";"EN";"B2ab(ii,iii,v)";"";"2013";"";"";"";"Liste rouge de la Flore vasculaire de Guadeloupe - 1";"Flore_vasculaire_Guadeloupe_1_2013";"Plantes, mousses et fougères";
"25";"630750";"630750";"Strumpfia maritima ";"Jacq., 1760";"Romarin bord de mer";"";"ES";"Rubiaceae";"";"";"EN";"B2ab(v)";"";"2013";"LC";"";"";"Liste rouge de la Flore vasculaire de Guadeloupe - 1";"Flore_vasculaire_Guadeloupe_1_2013";"Plantes, mousses et fougères";
"25";"630789";"630789";"Tetramicra elegans ";"(Ham.) Cogn., 1909";"";"";"ES";"Orchidaceae";"";"";"EN";"A(2+4)ac";"";"2013";"";"";"";"Liste rouge de la Flore vasculaire de Guadeloupe - 1";"Flore_vasculaire_Guadeloupe_1_2013";"Plantes, mousses et fougères";
"25";"716186";"716186";"Thelypteris leptocladia ";"(Fée) Proctor, 1953";"";"";"ES";"Thelypteridaceae";"";"";"EN";"B2ab(ii,iii,v)";"";"2013";"";"";"";"Liste rouge de la Flore vasculaire de Guadeloupe - 1";"Flore_vasculaire_Guadeloupe_1_2013";"Plantes, mousses et fougères";
"25";"630818";"630818";"Tolumnia urophylla ";"(Lodd. ex Lindl.) Braem, 1986";"";"";"ES";"Orchidaceae";"";"";"EN";"A2ac B2ab(ii,iii,iv,v)";"";"2013";"";"";"";"Liste rouge de la Flore vasculaire de Guadeloupe - 1";"Flore_vasculaire_Guadeloupe_1_2013";"Plantes, mousses et fougères";
"25";"630952";"630952";"Trichocentrum ceboletta ";"(Jacq.) M.W.Chase & N.H.Williams, 2001";"";"";"ES";"Orchidaceae";"";"";"EN";"A(2+4)ac B2ab(iii,v)";"";"2013";"";"";"";"Liste rouge de la Flore vasculaire de Guadeloupe - 1";"Flore_vasculaire_Guadeloupe_1_2013";"Plantes, mousses et fougères";
"25";"630835";"630835";"Trichosalpinx dura ";"(Lindl.) Luer, 1983";"";"";"ES";"Orchidaceae";"";"";"EN";"B2ab(iii,v)";"";"2013";"";"";"";"Liste rouge de la Flore vasculaire de Guadeloupe - 1";"Flore_vasculaire_Guadeloupe_1_2013";"Plantes, mousses et fougères";
"25";"630904";"630904";"Wolffiella lingulata ";"(Hegelm.) Hegelm., 1895";"Lentille d'eau";"";"ES";"Araceae";"";"";"EN";"B2ab(ii,iii)";"";"2013";"";"";"";"Liste rouge de la Flore vasculaire de Guadeloupe - 1";"Flore_vasculaire_Guadeloupe_1_2013";"Plantes, mousses et fougères";
"25";"630910";"630910";"Xylosma buxifolia ";"A.Gray, 1860";"Attrape-sot";"";"ES";"Salicaceae";"";"";"EN";"B2ab(iii)";"";"2013";"";"";"";"Liste rouge de la Flore vasculaire de Guadeloupe - 1";"Flore_vasculaire_Guadeloupe_1_2013";"Plantes, mousses et fougères";
"30";"716105";"716105";"Adiantum macrophyllum ";"Sw., 1788";"";"";"ES";"Pteridaceae";"";"";"VU";"D2";"";"2013";"";"";"";"Liste rouge de la Flore vasculaire de Guadeloupe - 1";"Flore_vasculaire_Guadeloupe_1_2013";"Plantes, mousses et fougères";
"30";"630974";"631641";"Aristolochia constricta";"Griseb., 1857";"Liane amère";"";"ES";"Aristolochiaceae";"";"";"VU";"D2";"";"2013";"";"";"";"Liste rouge de la Flore vasculaire de Guadeloupe - 1";"Flore_vasculaire_Guadeloupe_1_2013";"Plantes, mousses et fougères";
"30";"670837";"670837";"Asplenium cuneatum";"Lam., 1786";"";"";"ES";"Aspleniaceae";"";"";"VU";"D2";"";"2013";"";"";"";"Liste rouge de la Flore vasculaire de Guadeloupe - 1";"Flore_vasculaire_Guadeloupe_1_2013";"Plantes, mousses et fougères";
"30";"3195";"3195";"Calidris alba";"(Pallas, 1764)";"Bécasseau sanderling";"";"ES";"Scolopacidae";"";"";"VU";"D1";"";"2012";"LC";"LC";"";"Liste rouge des oiseaux non nicheurs de Guadeloupe";"Oiseaux_Guadeloupe_non_nicheurs_2012";"Oiseaux";
"30";"629321";"629321";"Chione venosa ";"(Sw.) Urb., 1911";"Grand branda";"";"ES";"Rubiaceae";"";"";"VU";"B2ab(iii) D2";"";"2013";"";"";"";"Liste rouge de la Flore vasculaire de Guadeloupe - 1";"Flore_vasculaire_Guadeloupe_1_2013";"Plantes, mousses et fougères";
"30";"629335";"629335";"Cinnamomum elongatum ";"(Nees) Kosterm., 1961";"Laurier cannelle";"";"ES";"Lauraceae";"";"";"VU";"D2";"";"2013";"";"";"";"Liste rouge de la Flore vasculaire de Guadeloupe - 1";"Flore_vasculaire_Guadeloupe_1_2013";"Plantes, mousses et fougères";
"30";"716134";"716134";"Elaphoglossum erinaceum ";"(Fée) T.Moore, 1857";"";"";"ES";"Lomariopsidaceae";"";"";"VU";"D2";"";"2013";"";"";"";"Liste rouge de la Flore vasculaire de Guadeloupe - 1";"Flore_vasculaire_Guadeloupe_1_2013";"Plantes, mousses et fougères";
"30";"441914";"441914";"Euphonia musica";"(Gmelin, 1789)";"Organiste louis-d'or";"";"ES";"Fringillidae";"";"";"VU";"D1";"";"2012";"LC";"";"";"Liste rouge des oiseaux nicheurs de Guadeloupe";"Oiseaux_Guadeloupe_nicheurs_2012";"Oiseaux";
"30";"630987";"633730";"Gaultheria swartzii ";"R.A.Howard, 1975";"Myrtille des hauts";"";"ES";"Ericaceae";"";"";"VU";"D2";"";"2013";"";"";"";"Liste rouge de la Flore vasculaire de Guadeloupe - 1";"Flore_vasculaire_Guadeloupe_1_2013";"Plantes, mousses et fougères";
"30";"629778";"629778";"Gonocalyx smilacifolius ";"(Griseb.) A.C.Sm., 1932";"";"";"ES";"Ericaceae";"";"";"VU";"D2";"";"2013";"";"";"";"Liste rouge de la Flore vasculaire de Guadeloupe - 1";"Flore_vasculaire_Guadeloupe_1_2013";"Plantes, mousses et fougères";
"30";"631035";"631035";"Helanthium zombiense ";"(Jérémie) Lehtonen & Myllys";"";"";"ES";"Alismataceae";"Guadeloupe";"";"VU";"D2";"";"2013";"";"";"";"Liste rouge de la Flore vasculaire de Guadeloupe - 1";"Flore_vasculaire_Guadeloupe_1_2013";"Plantes, mousses et fougères";
"30";"634005";"629852";"Hibiscus pernambucensis ";"Arruda, 1810";"Mahot-gombo";"";"ES";"Malvaceae";"";"";"VU";"B2ab(iii) D2";"";"2013";"";"";"";"Liste rouge de la Flore vasculaire de Guadeloupe - 1";"Flore_vasculaire_Guadeloupe_1_2013";"Plantes, mousses et fougères";
"30";"629872";"629872";"Hydrocotyle verticillata ";"Thunb., 1798";"Herbe-mare";"";"ES";"Araliaceae";"";"";"VU";"D2";"";"2013";"";"";"";"Liste rouge de la Flore vasculaire de Guadeloupe - 1";"Flore_vasculaire_Guadeloupe_1_2013";"Plantes, mousses et fougères";
"30";"447043";"447043";"Hymenaea courbaril ";"L., 1753";"Courbaril";"";"ES";"Fabaceae";"";"";"VU";"C2a(i)";"";"2013";"LC";"";"";"Liste rouge de la Flore vasculaire de Guadeloupe - 1";"Flore_vasculaire_Guadeloupe_1_2013";"Plantes, mousses et fougères";
"30";"199325";"199325";"Ixobrychus exilis";"(Gmelin, 1789)";"Petit Blongios";"";"ES";"Ardeidae";"";"";"VU";"D1";"";"2012";"LC";"";"";"Liste rouge des oiseaux nicheurs de Guadeloupe";"Oiseaux_Guadeloupe_nicheurs_2012";"Oiseaux";
"30";"629966";"629966";"Juncus guadeloupensis ";"Buchenau & Urb., 1900";"Jonc des hauts";"";"ES";"Juncaceae";"Guadeloupe";"";"VU";"D2";"";"2013";"";"";"";"Liste rouge de la Flore vasculaire de Guadeloupe - 1";"Flore_vasculaire_Guadeloupe_1_2013";"Plantes, mousses et fougères";
"30";"629972";"629972";"Justicia eustachiana ";"Jacq., 1760";"Grande Marguerite";"";"ES";"Acanthaceae";"";"";"VU";"D2";"";"2013";"";"";"";"Liste rouge de la Flore vasculaire de Guadeloupe - 1";"Flore_vasculaire_Guadeloupe_1_2013";"Plantes, mousses et fougères";
"30";"630035";"630035";"Licaria salicifolia";"(Sw.) Kosterm., 1937";"Bois fourmi";"";"ES";"Lauraceae";"";"";"VU";"B2ab(iii) D2";"";"2013";"";"";"";"Liste rouge de la Flore vasculaire de Guadeloupe - 1";"Flore_vasculaire_Guadeloupe_1_2013";"Plantes, mousses et fougères";
"30";"442094";"442094";"Myiarchus oberi";"Lawrence, 1877";"Tyran janeau";"";"ES";"Tyrannidae";"";"";"VU";"D1";"";"2012";"LC";"";"";"Liste rouge des oiseaux nicheurs de Guadeloupe";"Oiseaux_Guadeloupe_nicheurs_2012";"Oiseaux";
"30";"2571";"2571";"Numenius phaeopus";"(Linnaeus, 1758)";"Courlis corlieu";"";"ES";"Scolopacidae";"";"";"VU";"D1";"";"2012";"LC";"LC";"";"Liste rouge des oiseaux non nicheurs de Guadeloupe";"Oiseaux_Guadeloupe_non_nicheurs_2012";"Oiseaux";
"30";"520934";"520934";"Numenius phaeopus hudsonicus";"Latham, 1790";"Courlis hudsonien";"";"SSES";"Scolopacidae";"";"";"VU";"D1";"";"2012";"";"";"";"Liste rouge des oiseaux non nicheurs de Guadeloupe";"Oiseaux_Guadeloupe_non_nicheurs_2012";"Oiseaux";
"30";"2481";"2481";"Nycticorax nycticorax";"(Linnaeus, 1758)";"Bihoreau gris, Héron bihoreau";"";"ES";"Ardeidae";"";"";"VU";"EN (D) (-1)";"";"2012";"LC";"LC";"";"Liste rouge des oiseaux nicheurs de Guadeloupe";"Oiseaux_Guadeloupe_nicheurs_2012";"Oiseaux";
"30";"630232";"630232";"Nymphoides indica ";"(L.) Kuntze, 1891";"Ti folèt";"";"ES";"Menyanthaceae";"";"";"VU";"D2";"";"2013";"LC";"";"";"Liste rouge de la Flore vasculaire de Guadeloupe - 1";"Flore_vasculaire_Guadeloupe_1_2013";"Plantes, mousses et fougères";
"30";"630262";"630262";"Oncidium altissimum ";"(Jacq.) Sw., 1800";"";"";"ES";"Orchidaceae";"";"";"VU";"A2ac B2ab(ii,iii,v)";"";"2013";"";"";"";"Liste rouge de la Flore vasculaire de Guadeloupe - 1";"Flore_vasculaire_Guadeloupe_1_2013";"Plantes, mousses et fougères";
"30";"532691";"532691";"Onychoprion anaethetus";"(Scopoli, 1786)";"Sterne bridée";"";"ES";"Laridae";"";"";"VU";"EN (D) (-1)";"";"2012";"LC";"";"";"Liste rouge des oiseaux nicheurs de Guadeloupe";"Oiseaux_Guadeloupe_nicheurs_2012";"Oiseaux";
"30";"630270";"630270";"Oplonia microphylla";"(Lam.) Stearn, 1971";"Amourette";"";"ES";"Acanthaceae";"";"";"VU";"D2";"";"2013";"";"";"";"Liste rouge de la Flore vasculaire de Guadeloupe - 1";"Flore_vasculaire_Guadeloupe_1_2013";"Plantes, mousses et fougères";
"30";"2823";"2823";"Oxyura jamaicensis";"(Gmelin, 1789)";"Érismature rousse";"";"ES";"Anatidae";"";"";"VU";"EN (D) (-1)";"";"2012";"LC";"";"";"Liste rouge des oiseaux nicheurs de Guadeloupe";"Oiseaux_Guadeloupe_nicheurs_2012";"Oiseaux";
"30";"442189";"442189";"Pelecanus occidentalis";"Linnaeus, 1766";"Pélican brun";"";"ES";"Pelecanidae";"";"";"VU";"EN (D) (-1)";"";"2012";"LC";"";"";"Liste rouge des oiseaux nicheurs de Guadeloupe";"Oiseaux_Guadeloupe_nicheurs_2012";"Oiseaux";
"30";"418705";"418705";"Phaethon lepturus";"Daudin, 1802";"Phaéton à bec jaune";"";"ES";"Phaethontidae";"";"";"VU";"EN (D) (-1)";"";"2012";"LC";"";"";"Liste rouge des oiseaux nicheurs de Guadeloupe";"Oiseaux_Guadeloupe_nicheurs_2012";"Oiseaux";
"30";"630418";"630418";"Pilea repens ";"(Sw.) Wedd., 1852";"";"";"ES";"Urticaceae";"";"";"VU";"D2";"";"2013";"";"";"";"Liste rouge de la Flore vasculaire de Guadeloupe - 1";"Flore_vasculaire_Guadeloupe_1_2013";"Plantes, mousses et fougères";
"30";"115282";"115282";"Potamogeton nodosus ";"Poir., 1816";"Zèb rivyè, Zèb dlo";"";"ES";"Potamogetonaceae";"";"";"VU";"D2";"";"2013";"LC";"LC";"";"Liste rouge de la Flore vasculaire de Guadeloupe - 1";"Flore_vasculaire_Guadeloupe_1_2013";"Plantes, mousses et fougères";
"30";"442309";"442309";"Rallus longirostris";"Boddaert, 1783";"Râle gris";"";"ES";"Rallidae";"";"";"VU";"D1";"";"2012";"LC";"";"";"Liste rouge des oiseaux nicheurs de Guadeloupe";"Oiseaux_Guadeloupe_nicheurs_2012";"Oiseaux";
"30";"532688";"532688";"Sternula antillarum";"Lesson, 1847";"Petite Sterne";"";"ES";"Laridae";"";"";"VU";"EN (D) (-1)";"";"2012";"LC";"";"";"Liste rouge des oiseaux nicheurs de Guadeloupe";"Oiseaux_Guadeloupe_nicheurs_2012";"Oiseaux";
"30";"440197";"440197";"Sula sula";"(Linnaeus, 1766)";"Fou à pieds rouges";"";"ES";"Sulidae";"";"";"VU";"CR (D) (-2)";"";"2012";"LC";"";"";"Liste rouge des oiseaux nicheurs de Guadeloupe";"Oiseaux_Guadeloupe_nicheurs_2012";"Oiseaux";
"30";"630761";"630761";"Syagrus amara ";"(Jacq.) Mart., 1847";"Petit Coco";"";"ES";"Arecaceae";"";"";"VU";"D2";"";"2013";"";"";"";"Liste rouge de la Flore vasculaire de Guadeloupe - 1";"Flore_vasculaire_Guadeloupe_1_2013";"Plantes, mousses et fougères";
"30";"716183";"716183";"Thelypteris abrupta ";"(Desv.) Proctor, 1960";"";"";"ES";"Thelypteridaceae";"";"";"VU";"D2";"";"2013";"";"";"";"Liste rouge de la Flore vasculaire de Guadeloupe - 1";"Flore_vasculaire_Guadeloupe_1_2013";"Plantes, mousses et fougères";
"30";"716188";"716188";"Thelypteris rustica  ";"(Fée) Proctor, 1960";"";"";"ES";"Thelypteridaceae";"";"";"VU";"D2";"";"2013";"";"";"";"Liste rouge de la Flore vasculaire de Guadeloupe - 1";"Flore_vasculaire_Guadeloupe_1_2013";"Plantes, mousses et fougères";
"30";"2929";"2927";"Tryngites subruficollis";"(Vieillot, 1819)";"Bécasseau rousset, Bécasseau roussâtre";"";"ES";"Scolopacidae";"";"";"VU";"EN (D) (-1)";"";"2012";"";"";"";"Liste rouge des oiseaux non nicheurs de Guadeloupe";"Oiseaux_Guadeloupe_non_nicheurs_2012";"Oiseaux";
"30";"627346";"627346";"Turdus lherminieri";"(Lafresnaye, 1844)";"Grive à pieds jaunes";"";"ES";"Turdidae";"";"";"VU";"B2ab(iii)";"";"2012";"VU";"";"";"Liste rouge des oiseaux nicheurs de Guadeloupe";"Oiseaux_Guadeloupe_nicheurs_2012";"Oiseaux";
"30";"630870";"630870";"Verbesina guadeloupensis ";"Urb., 1901";"Flé jòn montann";"";"ES";"Asteraceae";"Guadeloupe";"";"VU";"D2";"";"2013";"";"";"";"Liste rouge de la Flore vasculaire de Guadeloupe - 1";"Flore_vasculaire_Guadeloupe_1_2013";"Plantes, mousses et fougères";
"30";"716547";"716547";"Vittaria lineata ";"(L.) Sm., 1793";"";"";"ES";"Pteridaceae";"";"";"VU";"B2ab(iii)";"";"2013";"";"";"";"Liste rouge de la Flore vasculaire de Guadeloupe - 1";"Flore_vasculaire_Guadeloupe_1_2013";"Plantes, mousses et fougères";
"35";"199379";"199379";"Anous stolidus";"(Linnaeus, 1758)";"Noddi brun";"";"ES";"Laridae";"";"";"NT";"VU (D1) (-1)";"";"2012";"LC";"";"";"Liste rouge des oiseaux nicheurs de Guadeloupe";"Oiseaux_Guadeloupe_nicheurs_2012";"Oiseaux";
"35";"441768";"441768";"Chordeiles gundlachii";"Lawrence, 1856";"Engoulevent piramidig";"";"ES";"Caprimulgidae";"";"";"NT";"VU (D1) (-1)";"";"2012";"LC";"";"";"Liste rouge des oiseaux nicheurs de Guadeloupe";"Oiseaux_Guadeloupe_nicheurs_2012";"Oiseaux";
